Ensembl_gene_id	Expression_vlue
ENSG00000242268.2	0.54833885557
ENSG00000270112.3	0.00304335030256
ENSG00000167578.15	1.93028647882
ENSG00000273842.1	0.0
ENSG00000078237.5	4.34266960271
ENSG00000146083.10	11.3522031367
ENSG00000225275.4	0.0
ENSG00000158486.12	0.0884819516943
ENSG00000198242.12	127.758914591
ENSG00000259883.1	0.0
ENSG00000231981.3	0.0
ENSG00000269475.2	0.0
ENSG00000201788.1	0.0
ENSG00000134108.11	26.3030911435
ENSG00000263089.1	0.356490703766
ENSG00000172137.17	0.694970396866
ENSG00000167700.7	13.9412221333
ENSG00000234943.2	0.0826144482663
ENSG00000240423.1	0.0
ENSG00000060642.9	12.2160558074
ENSG00000271616.1	0.0
ENSG00000234881.1	0.0
ENSG00000236040.1	0.0156510788927
ENSG00000231105.1	0.119356049401
ENSG00000243044.1	0.0
ENSG00000182141.8	1.91046745095
ENSG00000269416.4	0.0283485864652
ENSG00000264981.1	0.0
ENSG00000275265.1	0.0684519714206
ENSG00000185105.4	0.0190067007708
ENSG00000233540.1	0.0393253118641
ENSG00000102174.8	0.290282894155
ENSG00000271647.1	0.0
ENSG00000166391.13	0.00376246037647
ENSG00000270469.1	0.0384040036947
ENSG00000070087.12	26.5869745363
ENSG00000262950.1	0.0231050793742
ENSG00000255420.1	0.00996341874485
ENSG00000280038.1	0.0
ENSG00000266261.1	0.136364478968
ENSG00000153561.11	5.03301570731
ENSG00000269148.1	0.264982598791
ENSG00000274458.1	0.0
ENSG00000273406.1	0.0
ENSG00000179262.8	37.2565017868
ENSG00000214198.6	0.17442348452
ENSG00000278099.1	0.0
ENSG00000166368.2	0.0
ENSG00000206072.11	0.0
ENSG00000234900.1	0.0
ENSG00000258630.1	0.00915509905832
ENSG00000127511.8	7.27630729932
ENSG00000220993.1	0.0
ENSG00000225269.2	0.00892425415369
ENSG00000214062.5	0.0430188494425
ENSG00000095587.8	0.464261576501
ENSG00000274219.1	0.0
ENSG00000230100.1	0.0
ENSG00000064601.15	82.0152748476
ENSG00000227766.1	66.1178488101
ENSG00000008517.15	49.1303412576
ENSG00000215246.5	0.76477680017
ENSG00000266644.1	0.0834258401689
ENSG00000236893.1	0.0
ENSG00000254465.1	0.0
ENSG00000088179.7	1.21853664566
ENSG00000070081.14	5.62664551074
ENSG00000275479.1	6.33777700508
ENSG00000166634.5	0.0
ENSG00000261789.1	0.0
ENSG00000254092.1	0.0
ENSG00000197421.8	0.21565863445
ENSG00000161558.9	5.65098674901
ENSG00000276644.3	0.0635743397588
ENSG00000260900.1	0.0
ENSG00000278732.1	0.0
ENSG00000196167.8	1.69762143253
ENSG00000268465.1	0.0
ENSG00000264438.2	0.0
ENSG00000204113.6	0.0
ENSG00000207000.1	0.0
ENSG00000254131.1	0.111234453559
ENSG00000118972.1	0.00515998127839
ENSG00000264104.1	0.0
ENSG00000179833.4	6.97724049305
ENSG00000264576.1	0.0
ENSG00000064225.11	0.57952301186
ENSG00000267108.1	0.370781511862
ENSG00000221372.1	0.0
ENSGR0000264510.4	0.0
ENSG00000057294.12	2.15582889546
ENSG00000227535.2	0.0
ENSG00000252628.2	0.0
ENSG00000166007.11	0.0
ENSG00000273055.1	22.4996153902
ENSG00000242041.1	0.0
ENSG00000278923.1	0.0
ENSG00000167768.4	0.0312958671588
ENSG00000280159.1	0.019217799463
ENSG00000235240.1	0.0
ENSG00000264172.1	0.0
ENSG00000199903.1	0.0
ENSG00000200058.1	0.0
ENSG00000275358.1	0.0
ENSG00000218358.2	0.0410675725163
ENSG00000266460.1	0.0
ENSG00000260371.1	0.0
ENSG00000264091.1	1.19790949986
ENSG00000238921.2	0.0
ENSG00000274815.1	0.0
ENSG00000269349.1	0.371624197116
ENSG00000200291.1	0.0
ENSG00000233614.6	0.0813438255855
ENSG00000022567.8	5.105309934
ENSG00000241670.3	0.0
ENSG00000278933.1	0.0
ENSG00000202175.1	0.0
ENSG00000120662.14	2.57857738736
ENSG00000235523.1	0.90589831984
ENSG00000249848.1	0.0
ENSG00000277826.1	0.0
ENSG00000230225.1	0.0
ENSG00000239877.2	0.0097087428293
ENSG00000201398.1	0.0
ENSG00000281474.1	0.0
ENSG00000272905.1	0.442939590518
ENSG00000259952.1	0.0
ENSG00000260812.1	0.0
ENSG00000225630.1	89.1708226745
ENSG00000230231.1	0.0202771139299
ENSG00000164283.11	2.97588278351
ENSG00000231880.2	0.0
ENSG00000227489.1	0.023848121743
ENSG00000254555.1	0.0
ENSG00000013392.7	3.92648113843
ENSG00000258279.2	0.149164976036
ENSG00000226688.5	0.249851334861
ENSG00000250929.2	0.0
ENSG00000204581.2	0.0998257916551
ENSG00000225620.1	0.0
ENSG00000258477.1	0.124832252491
ENSG00000225488.1	0.0
ENSG00000184178.14	4.556945526
ENSG00000237786.1	0.0
ENSG00000166913.11	104.5321416
ENSG00000275856.1	0.0
ENSG00000164112.11	0.0102994864406
ENSG00000259345.4	0.830998909682
ENSG00000130204.11	14.3822142778
ENSG00000280387.1	0.0374346718707
ENSG00000189099.10	0.0
ENSG00000232879.2	0.720130566391
ENSG00000111863.11	0.0450298510791
ENSG00000164182.9	10.3206322889
ENSG00000109618.10	5.23008979168
ENSG00000271623.1	0.147376878532
ENSG00000279345.1	0.159539455303
ENSG00000214866.6	0.0
ENSG00000153015.14	4.6093892012
ENSG00000202290.1	1.19790949986
ENSG00000254578.1	0.0
ENSG00000240710.1	0.136803720336
ENSG00000248778.1	0.0
ENSG00000250210.4	0.0
ENSG00000225215.1	0.0
ENSG00000257246.1	0.0413072241331
ENSG00000245017.2	0.763214498869
ENSG00000281091.1	1.61795568812
ENSG00000250885.1	0.371888322345
ENSG00000273797.1	0.0590998994239
ENSG00000089116.3	0.00498330351942
ENSG00000036448.8	0.566725522378
ENSG00000234055.1	0.323087624444
ENSG00000267552.5	0.0
ENSG00000224695.1	0.0
ENSG00000106038.11	0.0
ENSG00000255189.1	0.0581437093897
ENSG00000164114.17	3.45496197064
ENSG00000238698.1	0.0
ENSG00000199836.1	0.0955387944675
ENSG00000149089.11	2.63486221077
ENSG00000251710.1	0.0
ENSG00000224570.1	0.00866601196338
ENSG00000179632.8	44.3140841993
ENSG00000271677.1	0.0
ENSG00000114861.17	2.57909176955
ENSG00000205030.1	0.0
ENSG00000138193.13	1.48262532967
