miRNA	Expression_vlue
hsa-let-7a-2-3p	11.6345
hsa-let-7a-3p	8.47768
hsa-let-7a-5p	5478.74
hsa-let-7b-3p	28.7445
hsa-let-7b-5p	8273.45
hsa-let-7c-3p	22.0784
hsa-let-7c-5p	1502.31
hsa-let-7d-3p	171.927
hsa-let-7d-5p	102.371
hsa-let-7e-3p	7.8169
hsa-let-7e-5p	1523.35
hsa-let-7f-1-3p	1.6748834
hsa-let-7f-2-3p	0.41533982
hsa-let-7f-5p	2530.45
hsa-let-7g-3p	17.7365
hsa-let-7g-5p	586.541
hsa-let-7i-3p	38.6187
hsa-let-7i-5p	229.877
hsa-miR-100-5p	3946.33
hsa-miR-101-3p	3633.08
hsa-miR-101-5p	6.23223
hsa-miR-103a-3p	9493.78
hsa-miR-105-5p	12.3233
hsa-miR-106a-3p	0.17231585
hsa-miR-106a-5p	26.862
hsa-miR-106b-3p	101.917
hsa-miR-106b-5p	97.0423
hsa-miR-107	55.5977
hsa-miR-10a-3p	1.9785255
hsa-miR-10a-5p	47940.4
hsa-miR-10b-3p	9.85155
hsa-miR-10b-5p	25372.1
hsa-miR-1179	0.25606407
hsa-miR-1197	0.14338388
hsa-miR-1224-5p	2.0399464
hsa-miR-1225-5p	0.07379203
hsa-miR-122-5p	0.042989644
hsa-miR-1226-3p	1.2267261
hsa-miR-1226-5p	0.0004380404
hsa-miR-1227-3p	0.08114291
hsa-miR-1228-3p	1.0231631
hsa-miR-1228-5p	0.6823168
hsa-miR-1229-3p	0.38620203
hsa-miR-1234-3p	0.0902064
hsa-miR-1236-3p	0.0019106503
hsa-miR-1237-3p	0.032376593
hsa-miR-1237-5p	0.000018149
hsa-miR-1243	0.042899598
hsa-miR-124-3p	10.5711
hsa-miR-1248	0.10969872
hsa-miR-1249-3p	1.7975773
hsa-miR-1249-5p	0.03913882
hsa-miR-1250-5p	0.3472346
hsa-miR-1252-5p	3.2417534E-05
hsa-miR-1254	0.40803728
hsa-miR-1255a	0.05890993
hsa-miR-125a-3p	2.6183103
hsa-miR-125a-5p	572.426
hsa-miR-125b-5p	463.127
hsa-miR-1260b	0.063805834
hsa-miR-1262	0.7254456
hsa-miR-126-3p	2006.66
hsa-miR-126-5p	84.1865
hsa-miR-1266-5p	4.59383
hsa-miR-1267	0.024232728
hsa-miR-1269a	80.874
hsa-miR-1270	0.77403924
hsa-miR-1271-5p	1.3752246
hsa-miR-1273c	2.308940697E-05
hsa-miR-1273h-3p	0.01218506
hsa-miR-127-3p	242.626
hsa-miR-127-5p	68.7482
hsa-miR-1276	0.02718046
hsa-miR-1277-3p	1.1419394
hsa-miR-1277-5p	0.000039974
hsa-miR-1278	0.02340713
hsa-miR-128-1-5p	1.7760067
hsa-miR-128-2-5p	0.17922263
hsa-miR-1283	1.7014221
hsa-miR-128-3p	66.5464
hsa-miR-1284	0.29631945
hsa-miR-1287-3p	5.39191
hsa-miR-1287-5p	16.2716
hsa-miR-129-1-3p	0.7785811
hsa-miR-1291	0.13100789
hsa-miR-1292-5p	0.121157986
hsa-miR-129-5p	16.2594
hsa-miR-1296-3p	0.074632776
hsa-miR-1296-5p	2.9935955
hsa-miR-1301-3p	3.99175
hsa-miR-1301-5p	0.07456982
hsa-miR-1303	3.1685755E-05
hsa-miR-1304-3p	0.92098324
hsa-miR-1304-5p	0.31694062
hsa-miR-1305	0.33837487
hsa-miR-1306-3p	0.31072405
hsa-miR-1306-5p	1.9590864
hsa-miR-1307-3p	715.501
hsa-miR-1307-5p	144.459
hsa-miR-130a-3p	55.0198
hsa-miR-130b-3p	23.9341
hsa-miR-130b-5p	5.83137
hsa-miR-132-3p	119.326
hsa-miR-132-5p	3.88836
hsa-miR-133a-3p	3.64546
hsa-miR-1343-3p	0.50081526
hsa-miR-134-3p	1.7263732
hsa-miR-134-5p	105.603
hsa-miR-135a-3p	0.9879043
hsa-miR-135a-5p	8.00015
hsa-miR-135b-3p	0.20009914
hsa-miR-135b-5p	6.12789
hsa-miR-136-3p	9.56688
hsa-miR-136-5p	8.56726
hsa-miR-137	2.7162917
hsa-miR-138-1-3p	0.30035345
hsa-miR-138-5p	2.1104146
hsa-miR-139-3p	11.0915
hsa-miR-139-5p	78.5849
hsa-miR-1-3p	38.8099
hsa-miR-140-3p	521.682
hsa-miR-140-5p	55.1049
hsa-miR-141-3p	421.442
hsa-miR-141-5p	145.575
