miRNA	Expression_vlue
hsa-let-7a-2-3p	6.21809
hsa-let-7a-3p	6.40414
hsa-let-7a-5p	5499.63
hsa-let-7b-3p	23.396
hsa-let-7b-5p	12742.8
hsa-let-7c-3p	19.1119
hsa-let-7c-5p	2495.04
hsa-let-7d-3p	101.175
hsa-let-7d-5p	48.0585
hsa-let-7e-3p	6.54162
hsa-let-7e-5p	591.154
hsa-let-7f-1-3p	1.618499
hsa-let-7f-2-3p	0.40230666
hsa-let-7f-5p	4765.01
hsa-let-7g-3p	7.77009
hsa-let-7g-5p	314.363
hsa-let-7i-3p	37.8576
hsa-let-7i-5p	225.132
hsa-miR-100-5p	8109.63
hsa-miR-101-3p	6471.43
hsa-miR-101-5p	2.6064615
hsa-miR-103a-3p	9647.63
hsa-miR-105-5p	10.3837
hsa-miR-106a-3p	0.2868173
hsa-miR-106a-5p	8.60131
hsa-miR-106b-3p	229.467
hsa-miR-106b-5p	75.4576
hsa-miR-107	53.2251
hsa-miR-10a-3p	1.0899332
hsa-miR-10a-5p	9357.37
hsa-miR-10b-3p	3.71315
hsa-miR-10b-5p	7476.18
hsa-miR-1179	0.13617484
hsa-miR-1180-5p	0.014229469
hsa-miR-1197	0.12857974
hsa-miR-1224-5p	0.064335614
hsa-miR-1225-5p	0.17107474
hsa-miR-1226-3p	0.52188165
hsa-miR-1226-5p	0.020823028
hsa-miR-1227-3p	0.14693191
hsa-miR-1228-3p	0.370661
hsa-miR-1228-5p	0.25752085
hsa-miR-1229-3p	0.007673883
hsa-miR-1229-5p	0.0005995227
hsa-miR-1234-3p	0.12245816
hsa-miR-1237-3p	0.06984144
hsa-miR-1237-5p	0.000000459
hsa-miR-124-3p	1.3566209
hsa-miR-1246	0.07996039
hsa-miR-1248	0.47692102
hsa-miR-1249-3p	1.8930197
hsa-miR-1249-5p	0.020997756
hsa-miR-1250-3p	0.0020534875
hsa-miR-1252-5p	3.0417534E-05
hsa-miR-1254	0.1430138
hsa-miR-1255a	0.10846009
hsa-miR-1256	0.020964155
hsa-miR-125a-3p	1.4141561
hsa-miR-125a-5p	409.377
hsa-miR-125b-5p	328.885
hsa-miR-1260a	0.0007813065
hsa-miR-1260b	0.17775891
hsa-miR-1262	0.506256
hsa-miR-126-3p	1294.95
hsa-miR-126-5p	191.434
hsa-miR-1266-5p	1.829753
hsa-miR-1267	0.07067065
hsa-miR-1269a	33.8808
hsa-miR-1270	0.6250324
hsa-miR-1271-5p	1.2339476
hsa-miR-1273c	9.150697E-08
hsa-miR-1273h-3p	0.045747266
hsa-miR-127-3p	403.041
hsa-miR-127-5p	198.266
hsa-miR-1276	0.16598773
hsa-miR-1277-3p	0.41870872
hsa-miR-1277-5p	0.000040974
hsa-miR-1278	0.016213589
hsa-miR-128-1-5p	2.1090914
hsa-miR-1283	0.02914326
hsa-miR-128-3p	73.2198
hsa-miR-1284	0.10258656
hsa-miR-1285-3p	0.080236225
hsa-miR-1287-3p	2.7387312
hsa-miR-1287-5p	10.6214
hsa-miR-1290	0.021023273
hsa-miR-129-1-3p	0.15663113
hsa-miR-1291	0.36365345
hsa-miR-129-2-3p	0.14000988
hsa-miR-1292-3p	0.0028255522
hsa-miR-1292-5p	0.26768436
hsa-miR-129-5p	17.1502
hsa-miR-1296-3p	0.01972797
hsa-miR-1296-5p	2.1256928
hsa-miR-1301-3p	1.309176
hsa-miR-1301-5p	0.103812545
hsa-miR-1303	2.9685755E-05
hsa-miR-1304-3p	1.2000921
hsa-miR-1304-5p	0.4192362
hsa-miR-1305	0.0779477
hsa-miR-1306-3p	0.5212887
hsa-miR-1306-5p	1.2568449
hsa-miR-1307-3p	426.551
hsa-miR-1307-5p	157.456
hsa-miR-130a-3p	39.677
hsa-miR-130b-3p	9.82805
hsa-miR-130b-5p	2.478835
hsa-miR-1322	0.04067047
hsa-miR-132-3p	116.107
hsa-miR-132-5p	1.2910531
hsa-miR-133a-3p	7.22257
hsa-miR-133a-5p	0.3485718
hsa-miR-133b	8.74278
hsa-miR-1343-3p	0.794785
hsa-miR-134-3p	0.5811741
hsa-miR-134-5p	130.182
hsa-miR-135a-3p	0.046102288
hsa-miR-135b-3p	0.37941504
hsa-miR-135b-5p	13.9266
hsa-miR-136-3p	15.1328
hsa-miR-136-5p	19.8152
hsa-miR-138-1-3p	0.20051255
hsa-miR-138-5p	0.15155437
hsa-miR-139-3p	28.4029
hsa-miR-139-5p	45.2077
hsa-miR-1-3p	375.701
hsa-miR-140-3p	566.173
hsa-miR-140-5p	42.3749
hsa-miR-141-3p	651.017
hsa-miR-141-5p	367.768
hsa-miR-142-3p	982.873
hsa-miR-143-3p	78498.7
hsa-miR-143-5p	45.0351
hsa-miR-144-3p	10.4131
hsa-miR-144-5p	197.032
hsa-miR-145-3p	32.5204
hsa-miR-145-5p	526.12
hsa-miR-146a-3p	0.14917373
hsa-miR-146a-5p	65.49
hsa-miR-146b-3p	67.1521
hsa-miR-146b-5p	345.013
hsa-miR-148a-3p	15301.7
hsa-miR-148a-5p	24.8294
hsa-miR-148b-3p	30.2369
hsa-miR-148b-5p	0.44763604
hsa-miR-149-3p	0.871606
hsa-miR-149-5p	39.5285
hsa-miR-150-3p	1.9990826
hsa-miR-150-5p	433.372
hsa-miR-151a-3p	1732.5
hsa-miR-151a-5p	30.0309
hsa-miR-151b	1.44142
hsa-miR-152-3p	279.004
hsa-miR-152-5p	0.5834064
hsa-miR-1537-3p	0.269411
hsa-miR-155-3p	0.27274545
hsa-miR-155-5p	98.7036
hsa-miR-15a-3p	0.5685348
hsa-miR-15a-5p	49.4589
hsa-miR-15b-3p	17.6118
hsa-miR-15b-5p	168.949
hsa-miR-16-1-3p	2.9192476
hsa-miR-16-2-3p	2.6901557
hsa-miR-16-5p	206.354
hsa-miR-17-3p	284.4
hsa-miR-17-5p	337.483
hsa-miR-181a-3p	136.102
hsa-miR-181a-5p	269.103
hsa-miR-181b-3p	2.5728512
hsa-miR-181b-5p	48.3047
hsa-miR-181c-3p	17.3769
hsa-miR-181c-5p	16.8024
hsa-miR-181d-3p	0.024251103
hsa-miR-181d-5p	7.99491
hsa-miR-182-3p	0.05462664
hsa-miR-182-5p	4359.25
hsa-miR-183-3p	0.9611124
hsa-miR-183-5p	2354.24
hsa-miR-184	15.5602
hsa-miR-185-3p	5.46649
hsa-miR-185-5p	63.1834
hsa-miR-186-3p	0.19694134
hsa-miR-186-5p	60.982
hsa-miR-18a-3p	0.32172832
hsa-miR-18a-5p	3.02606
hsa-miR-18b-3p	0.1596086
hsa-miR-18b-5p	0.41311012
hsa-miR-1908-3p	0.032106643
hsa-miR-1908-5p	0.19226914
hsa-miR-1909-3p	3.9835068E-05
hsa-miR-1909-5p	0.0003775748
hsa-miR-190a-5p	2.7635737
hsa-miR-1910-3p	0.06540862
hsa-miR-1910-5p	0.579167
hsa-miR-1913	0.019848637
hsa-miR-191-3p	0.9329834
hsa-miR-1914-3p	0.0001354436
hsa-miR-1914-5p	0.111659625
hsa-miR-1915-3p	0.024816744
hsa-miR-1915-5p	0.024270074
hsa-miR-191-5p	108.626
hsa-miR-192-3p	0.7197246
hsa-miR-192-5p	95.555
hsa-miR-193a-3p	3.99454
hsa-miR-193a-5p	130.802
hsa-miR-193b-5p	3.88786
hsa-miR-194-3p	2.3221782
hsa-miR-194-5p	39.9905
hsa-miR-195-3p	1.1433297
hsa-miR-195-5p	27.1872
hsa-miR-196a-3p	0.14257073
hsa-miR-196a-5p	76.6604
hsa-miR-196b-3p	0.06883712
hsa-miR-196b-5p	149.761
hsa-miR-197-3p	94.2006
hsa-miR-197-5p	0.08192071
hsa-miR-1976	3.90536
hsa-miR-199a-3p	838.64
hsa-miR-199a-5p	404.631
hsa-miR-199b-3p	943.091
hsa-miR-19a-3p	13.0578
hsa-miR-19a-5p	0.002753463
hsa-miR-19b-1-5p	3.57939
hsa-miR-19b-2-5p	0.0040620796
hsa-miR-19b-3p	29.4018
hsa-miR-200a-3p	81.5476
hsa-miR-200a-5p	739.876
hsa-miR-200b-3p	214.627
hsa-miR-200b-5p	10.8928
hsa-miR-200c-3p	2986.71
hsa-miR-200c-5p	20.7702
hsa-miR-202-3p	0.016222539
hsa-miR-202-5p	0.10262368
hsa-miR-203a-3p	80696.3
hsa-miR-203a-5p	3.17578
hsa-miR-203b-3p	44.2807
hsa-miR-204-3p	0.3254551
hsa-miR-204-5p	5.32018
hsa-miR-205-3p	0.871516
hsa-miR-205-5p	3524.94
hsa-miR-206	3037.25
hsa-miR-20a-3p	2.94425
hsa-miR-20a-5p	262.805
hsa-miR-20b-3p	18.1001
hsa-miR-20b-5p	22.2668
hsa-miR-210-3p	688.894
hsa-miR-210-5p	0.47840873
hsa-miR-2115-3p	1.0230651
hsa-miR-211-5p	0.7027921
hsa-miR-2116-5p	0.07609156
hsa-miR-212-3p	2.8819
hsa-miR-21-3p	2314.09
hsa-miR-214-5p	14.7134
hsa-miR-215-5p	1.8192701
hsa-miR-21-5p	158648
hsa-miR-216b-3p	3.9897917E-05
hsa-miR-218-1-3p	0.38300046
hsa-miR-218-2-3p	0.039525557
hsa-miR-218-5p	25.2292
hsa-miR-219a-5p	4.24792
hsa-miR-219b-3p	0.1551736
hsa-miR-219b-5p	0.0610951
hsa-miR-221-3p	193.472
hsa-miR-221-5p	1.3446461
hsa-miR-222-3p	20.6852
hsa-miR-223-3p	42.6362
hsa-miR-22-3p	83508.2
hsa-miR-224-3p	1.4995686
hsa-miR-224-5p	47.1406
hsa-miR-22-5p	12.6205
hsa-miR-2276-3p	0.41149362
hsa-miR-2276-5p	0.0056404196
hsa-miR-2277-5p	0.32764235
hsa-miR-23a-3p	1719.43
hsa-miR-23a-5p	0.87422267
hsa-miR-23b-3p	857.369
hsa-miR-23b-5p	0.70492406
hsa-miR-23c	0.6986422
hsa-miR-24-1-5p	2.76228
hsa-miR-24-2-5p	5.49488
hsa-miR-24-3p	1097.57
hsa-miR-2467-5p	0.033624012
hsa-miR-25-3p	7583.14
hsa-miR-25-5p	0.2005046
hsa-miR-2682-3p	0.12269481
hsa-miR-2682-5p	0.3519233
hsa-miR-26a-1-3p	0.79958723
hsa-miR-26a-2-3p	2.642006
hsa-miR-26a-5p	796.863
hsa-miR-26b-3p	11.0646
hsa-miR-26b-5p	409.968
hsa-miR-27a-3p	1380.41
hsa-miR-27a-5p	33.5738
hsa-miR-27b-3p	1996.66
hsa-miR-27b-5p	15.3298
hsa-miR-28-3p	1634.52
hsa-miR-28-5p	56.5712
hsa-miR-296-3p	0.34895246
hsa-miR-296-5p	1.750285
hsa-miR-299-3p	0.6077276
hsa-miR-299-5p	2.1420983
hsa-miR-29a-3p	7655.48
hsa-miR-29a-5p	2.3189213
hsa-miR-29b-1-5p	1.9999779
hsa-miR-29b-2-5p	12.9216
hsa-miR-29b-3p	93.6142
hsa-miR-29c-3p	1816.09
hsa-miR-29c-5p	6.03457
hsa-miR-301a-3p	1.7703555
hsa-miR-301b-3p	0.13482912
hsa-miR-301b-5p	0.23119656
hsa-miR-302c-3p	0.05320923
hsa-miR-302d-3p	0.038377456
hsa-miR-3064-3p	0.16382437
hsa-miR-3064-5p	0.033943202
hsa-miR-3065-3p	41.78
hsa-miR-3065-5p	0.8773839
hsa-miR-3074-3p	0.14702691
hsa-miR-3074-5p	1.2307064
hsa-miR-30a-3p	3557
hsa-miR-30a-5p	8988.86
hsa-miR-30b-3p	1.2191605
hsa-miR-30b-5p	288.534
hsa-miR-30c-1-3p	0.6212663
hsa-miR-30c-2-3p	23.0873
hsa-miR-30c-5p	55.6148
hsa-miR-30d-3p	2.210809
hsa-miR-30d-5p	5231.43
hsa-miR-30e-3p	2372
hsa-miR-30e-5p	3044.05
hsa-miR-3115	0.009617821
hsa-miR-3116	0.0030542363
hsa-miR-3120-5p	0.020521246
hsa-miR-3121-3p	0.0023086064
hsa-miR-3125	0.06989946
hsa-miR-3129-3p	0.28469985
hsa-miR-3130-3p	0.17221382
hsa-miR-3130-5p	2.64785
hsa-miR-3133	0.0065159406
hsa-miR-3135a	0.06528204
hsa-miR-3136-5p	0.32132204
hsa-miR-3137	0.040143873
hsa-miR-3138	0.0060963563
hsa-miR-31-3p	5.42622
hsa-miR-3140-3p	0.112906604
hsa-miR-3142	0.042602724
hsa-miR-3143	0.0050466053
hsa-miR-3144-3p	0.064104523
hsa-miR-3145-5p	0.041070603
hsa-miR-3146	0.047544247
hsa-miR-3149	0.083362966
hsa-miR-3150a-3p	0.051991385
hsa-miR-3150a-5p	0.08173991
hsa-miR-3154	0.08722415
hsa-miR-3155a	0.2972906
hsa-miR-3158-3p	0.1882335
hsa-miR-3158-5p	0.114561325
hsa-miR-3159	0.040744966
hsa-miR-31-5p	2.9142824
hsa-miR-3160-3p	0.0046730113
hsa-miR-3161	0.9101067
hsa-miR-3162-3p	3.2502322E-08
hsa-miR-3162-5p	2.72682209E-05
hsa-miR-3163	0.0029324369
hsa-miR-3164	0.35230976
hsa-miR-3168	4.1845102E-05
hsa-miR-3170	0.683126
hsa-miR-3173-5p	0.37021418
hsa-miR-3174	0.014947473
hsa-miR-3175	0.015138344
hsa-miR-3176	0.112627145
hsa-miR-3177-3p	0.13107982
hsa-miR-3177-5p	0.029218494
hsa-miR-3183	0.07023157
hsa-miR-3187-3p	0.16809319
hsa-miR-3188	0.040821005
hsa-miR-3189-3p	0.14501465
hsa-miR-3190-3p	0.02107901
hsa-miR-3191-3p	0.17992214
hsa-miR-3191-5p	0.1225153
hsa-miR-3192-3p	0.000327722
hsa-miR-3192-5p	0.039918027
hsa-miR-3193	0.40147117
hsa-miR-3194-5p	0.1320974
hsa-miR-3196	0.015125443
hsa-miR-3198	0.05475102
hsa-miR-3199	0.8334613
hsa-miR-3200-5p	0.094541
hsa-miR-3202	0.029144935
hsa-miR-320a	244.105
hsa-miR-320b	0.8508491
hsa-miR-320c	0.3866623
hsa-miR-32-3p	0.4361926
hsa-miR-324-3p	12.9735
hsa-miR-324-5p	9.91668
hsa-miR-32-5p	19.1116
hsa-miR-326	7.79644
hsa-miR-328-5p	0.045475853
hsa-miR-329-3p	1.1049296
hsa-miR-329-5p	0.23465466
hsa-miR-330-3p	0.8929349
hsa-miR-330-5p	25.9538
hsa-miR-331-3p	7.68771
hsa-miR-331-5p	0.61051356
hsa-miR-335-3p	52.3308
hsa-miR-335-5p	8.8154
hsa-miR-337-3p	12.4
hsa-miR-338-3p	82.3145
hsa-miR-338-5p	4.64645
hsa-miR-339-3p	1.3281517
hsa-miR-339-5p	11.6462
hsa-miR-33a-3p	2.498332
hsa-miR-33a-5p	20.0509
hsa-miR-33b-3p	0.8342921
hsa-miR-33b-5p	1.8130876
hsa-miR-340-3p	1.7869479
hsa-miR-342-3p	46.334
hsa-miR-342-5p	1.1452647
hsa-miR-345-3p	0.37389802
hsa-miR-345-5p	2.1554787
hsa-miR-34a-3p	0.22444096
hsa-miR-34a-5p	62.7452
hsa-miR-34b-3p	0.8168188
hsa-miR-34b-5p	1.9605195
hsa-miR-34c-3p	52.4229
hsa-miR-34c-5p	16.62
hsa-miR-3529-3p	4.0391277E-05
